ID,latitude,longitude,elevation,IGBP,Koppen,name,location
JP-KaL,36.037778,140.404167,0.26,WAT,Cfa : Humid subtropical climate,"Koshin, Lake Kasumigaura","Ibaraki Prefecture, Japan"
JP-Nkm,35.808064,137.833883,2641,ENF,Dfb : Warm-summer humid continental climate,Nishikoma Site,"Nagano, Japan"
ID-PaD,-2.346071,114.036408,26,EBF,Am : Tropical monsoon climate,Palangkaraya Drained forest,"Palangkaraya, Central Kalimantan, Indonesia"
ID-Pag,-2.323917,113.904392,22,EBF,Am : Tropical monsoon climate,Palangkaraya Undrained Fores,"Palangkaraya, Kalimantan, Indonesia"
JP-SMF,35.261528,137.07875,212,MF,Cfa : Humid subtropical climate,Seto Mixed Forest Site,"Seto, Aichi Pref, Japan"
RU-SkP,62.25471,129.618543,217,DNF,Dfd : Extremely cold subarctic climate,Yakutsk Spasskaya Pad larch,"Yakutia, Russia"
RU-Sk2,62.241291,129.651336,216,ENF,Dfd : Extremely cold subarctic climate,Yakutsk Spasskaya Pad Pine,"Yakutia, Russia"
JP-Hc1,34.537892,133.926797,0,CRO,Cfa : Humid subtropical climate,Hachihama Experimental Farm: the International Rice Experiment,"Tamano, Okayama, Japan"
JP-KaP,36.08,140.24,3,CRO,Cfa : Humid subtropical climate,Kasumigaura lotus paddy,"Tsuchiura, Ibaraki, Japan"
JP-Km1,43.107511,144.330906,4.9,WET,Dfb : Warm-summer humid continental climate,Kushiro Mire: Onnenai Fen,"kushiro, Hokkaido, Japan"
JP-Nsb,36.024303,140.114975,24,CRO,Cfa : Humid subtropical climate,NIAES Soybean,"Tsukuba, Ibaraki, Japan"
CN-In1,42.929708,120.70735,356,BSV,Bsk : Cold semi-arid climate,Inner Mongolia dune,"Inner Mongolia, China"
CN-In2,42.933964,120.710964,355,GRA,Bsk : Cold semi-arid climate,Inner Mongolia grassland,"Inner Mongolia, China"
CN-In3,42.925572,120.699039,354,CRO,Bsk : Cold semi-arid climate,Inner Mongolia soybean,"Inner Mongolia, China"
CN-In4,42.944133,120.726622,354,CRO,Bsk : Cold semi-arid climate,Inner Mongolia maize,"Inner Mongolia, China"
CN-In5,42.934158,120.709078,355,GRA,Bsk : Cold semi-arid climate,Inner Mongolia no grazing,"Inner Mongolia, China"
CN-In6,42.934014,120.711547,355,GRA,Bsk : Cold semi-arid climate,Inner Mongolia heavy grazing,"Inner Mongolia, China"
CN-In7,42.933919,120.709606,355,GRA,Bsk : Cold semi-arid climate,Inner Mongolia light grazing,"Inner Mongolia, China"
CN-In8,42.933967,120.710531,355,GRA,Bsk : Cold semi-arid climate,Inner Mongolia medium grazing,"Inner Mongolia, China"
JP-Hc2,34.537518,133.927545,-1,CRO,Cfa : Humid subtropical climate,Hachihama Experimental Farm,"Tamano City, Okayama, Japan"
JP-Ako,34.735192,134.374798,10.5,EBF,Cfa : Humid subtropical climate,Akou green belt,"Akou, Hyogo, Japan"
JP-Fhk,35.443556,138.764693,1105,DNF,Cfa : Humid subtropical climate,Fuji Hokuroku Flux Observation Site,"Fujiyoshida City, Yamanashi, Japan"
JP-Fmt,35.638745,139.379748,168,MF,Cfa : Humid subtropical climate,Field Museum Tama Hills,"Hachioji City, Tokyo, Japan"
MN-Kbu,47.213972,108.737333,1235,GRA,Bsk : Cold semi-arid climate,Kherlenbayan Ulaan,"Village of Kherlenbayan Ulaan, Mongolia"
JP-Khw,33.13658,130.70834,196,ENF,Cfa : Humid subtropical climate,Kahoku Experiment watershed,"Yamaga City, Kumamoto, Japan"
CN-Lsh,45.279839,127.578206,340,DNF,Cfc : Subpolar oceanic climate,Laoshan,"Harbin, northeast China,China"
JP-Mse,36.05393,140.02693,11,CRO,Cfa : Humid subtropical climate,Mase paddy flux site,"Tsukuba, Ibaraki, Japan"
JP-Nuf,35.152417,136.971889,66,DBF,Cfa : Humid subtropical climate,Nagoya University Forest,"Nagoya, Aichi, Japan"
JP-Shn,35.865755,137.932563,775,MF,Dfa : Hot-summer humid continental climate,Shinshu University Experimental Forest Site,"Minamiminowa, Nagano, Japan"
JP-Spp,42.986843,141.385331,173,DBF,Dfb : Warm-summer humid continental climate,Sapporo forest meteorology research site,"Sapporo, Hokkaido, Japan"
MN-Skt,48.351861,108.654333,1630,DNF,Dwc : Monsoon-influenced subarctic climate,Southern Khentei Taiga,"NE of Mongonomorit, Mongolia"
JP-Tdf,35.035889,137.185778,89.93,DBF,Cfa : Humid subtropical climate,Toyota Deciduous Forest,"Toyota, Aichi, Japan"
JP-Tgf,36.11353,140.09488,27,GRA,Cfa : Humid subtropical climate,"Terrestrial Environment Research Center, University of Tsukuba","Tsukuba, Ibaraki, Japan"
JP-Toc,42.709727,141.565898,96,DBF,Dfb : Warm-summer humid continental climate,Tomakomai Crane site,"Tomakomai, Hokkaido, Japan"
JP-Tom,42.698906,141.571488,90,DBF,Dfb : Warm-summer humid continental climate,Tomakomai Experimental Forest,"Tomakomai, Hokkaido, Japan"
JP-Tef,45.055808,142.107122,79.47,DNF,Dfb : Warm-summer humid continental climate,CC-LaG Teshio Experimental Forest,"Horonobe, Hokkaido, Japan"
MN-Udg,48.256389,106.851111,1342,DNF,Dwc : Monsoon-influenced subarctic climate,Udleg practice forest,"Udreg village, Batumber district, Tuv province, Mongolia"
JP-Kgu,35.582859,139.693543,18.5,URB,Cfa : Humid subtropical climate,Kugahara urban residential area,"Ota-ku, Tokyo, Japan"
JP-Yrp,36.007667,140.030175,23,CRO,Cfa : Humid subtropical climate,Yawara Rice paddy,"Tsukubamirai, Ibaraki, Japan"
JP-Hrt,35.362778,139.338056,6.98,CRO,Cfa : Humid subtropical climate,Hiratsuka Rice Paddy,"Hiratsuka City, Kanagawa, Japan"
TH-Kms,14.009167,99.984167,4.74,CRO,Aw : Tropical wet and dry or savanna climate,Kamphaeng Saen Rice Paddy,"Nakhon Pathom Province, Thailand"
JP-Tkb,36.173379,140.176634,341,ENF,Cfa : Humid subtropical climate,Tsukuba Experimental Watershed,"Ishioka City,Ibaraki, Japan"
TH-Kog,18.8,98.9,1265,EBF,Af : Tropical rainforest climate,Kog-Ma Watershed,"ChiangMai Province, Thailand"
TH-Mae,18.383333,99.716667,380,DBF,Aw : Tropical wet and dry or savanna climate,Mae Moh plantation,"Lampang province, Thailand"
JP-Nap,34.77485,134.892442,40,WAT,Cfa : Humid subtropical climate,Nunoike Agricultural Pond,"Kakogawa City, Hyogo, Japan"
JP-Km2,43.1,144.35,7,WET,Dfb : Warm-summer humid continental climate,Kushiro Mire: Akanuma Bog,"kushiro, Hokkaido, Japan"
RU-USk,62.150995,130.527517,143,GRA,Dfb : Warm-summer humid continental climate,Ulakhan Sykkhan Alas,"near Yakutsk, Russia"
JP-NsM,36.915833,139.935833,320,GRA,Cfa : Humid subtropical climate,"Nasu Research Station, Manure Application Plot","Nasushiobara, Tochigi, Japan"
JP-NsC,36.915,139.936667,320,GRA,Cfa : Humid subtropical climate,"Nasu Research Station, Chemical Fertilizer Plot","Nasushiobara, Tochigi, Japan"
JP-Tmd,42.735911,141.523147,117,DNF,Dfb : Warm-summer humid continental climate,Tomakomai Flux Research Site Disturbed,"Tomakomai, Hokkaido, Japan"
